nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       128, 3.000000046E+00,-2.346500025E-08, 2.339603462E-02, 1.584316828E+00
       129,-1.500000030E-01,-2.346499996E-08, 2.735777003E-02, 1.766078645E+00
       130, 3.000000109E-01,-2.346500038E-08, 2.735777041E-02, 1.895415050E+00
       131, 4.499999767E-01,-2.346500001E-08, 2.735777000E-02, 1.816035699E+00
       132, 7.499999865E-01,-2.346500000E-08, 2.735777000E-02, 1.719244497E+00
       133, 1.049999957E+00,-2.346499757E-08, 2.735777000E-02, 1.642778698E+00
       134, 1.499999992E+00,-2.346499962E-08, 2.735777000E-02, 1.593147545E+00
       135, 2.099999885E+00,-2.346499957E-08, 2.735777000E-02, 1.602119475E+00
       136, 3.000000046E+00,-2.346500025E-08, 2.735777021E-02, 1.628367683E+00
       137,-1.500000031E-01,-2.346499995E-08, 3.190569386E-02, 1.811760970E+00
       138, 3.000000109E-01,-2.346500037E-08, 3.190569430E-02, 1.810949228E+00
       139, 4.499999767E-01,-2.346500001E-08, 3.190569382E-02, 1.766172326E+00
       140, 7.499999865E-01,-2.346500001E-08, 3.190569382E-02, 1.718848262E+00
       141, 1.049999957E+00,-2.346499757E-08, 3.190569382E-02, 1.671495190E+00
       142, 1.499999992E+00,-2.346499962E-08, 3.190569382E-02, 1.632636122E+00
       143, 2.099999885E+00,-2.346499955E-08, 3.190569382E-02, 1.642708954E+00
       144, 3.000000046E+00,-2.346500024E-08, 3.190569406E-02, 1.672452266E+00
       145,-1.500000033E-01,-2.346499996E-08, 3.712653982E-02, 1.856606075E+00
       146, 3.000000109E-01,-2.346500039E-08, 3.712654033E-02, 1.685136270E+00
       147, 4.499999767E-01,-2.346500001E-08, 3.712653978E-02, 1.690784335E+00
       148, 7.499999865E-01,-2.346500001E-08, 3.712653978E-02, 1.704943730E+00
       149, 1.049999957E+00,-2.346499758E-08, 3.712653978E-02, 1.691961715E+00
       150, 1.499999992E+00,-2.346499962E-08, 3.712653978E-02, 1.670622275E+00
       151, 2.099999885E+00,-2.346499956E-08, 3.712653978E-02, 1.683392820E+00
       152, 3.000000046E+00,-2.346500025E-08, 3.712654005E-02, 1.716632961E+00
       153,-1.500000034E-01,-2.346499996E-08, 4.311987516E-02, 1.900855132E+00
       154, 3.000000109E-01,-2.346500038E-08, 4.311987575E-02, 1.533864221E+00
       155, 4.499999767E-01,-2.346500001E-08, 4.311987511E-02, 1.592874872E+00
       156, 7.499999865E-01,-2.346500001E-08, 4.311987511E-02, 1.676631401E+00
       157, 1.049999957E+00,-2.346499758E-08, 4.311987511E-02, 1.703228462E+00
       158, 1.499999992E+00,-2.346499963E-08, 4.311987511E-02, 1.705951967E+00
       159, 2.099999885E+00,-2.346499956E-08, 4.311987511E-02, 1.724097631E+00
       160, 3.000000046E+00,-2.346500025E-08, 4.311987543E-02, 1.760986693E+00
       161,-1.500000037E-01,-2.346499997E-08, 4.999999933E-02, 1.944770461E+00
       162, 3.000000109E-01,-2.346500038E-08, 5.000000002E-02, 1.380415547E+00
       163, 4.499999767E-01,-2.346500001E-08, 4.999999927E-02, 1.479454868E+00
       164, 7.499999865E-01,-2.346500001E-08, 4.999999927E-02, 1.633933339E+00
       165, 1.049999957E+00,-2.346499757E-08, 4.999999927E-02, 1.704866885E+00
       166, 1.499999992E+00,-2.346499963E-08, 4.999999927E-02, 1.737368132E+00
       167, 2.099999885E+00,-2.346499957E-08, 4.999999927E-02, 1.764609153E+00
       168, 3.000000046E+00,-2.346500025E-08, 4.999999964E-02, 1.805628525E+00
       169,-1.500000037E-01,-2.346499995E-08, 5.749999923E-02, 1.986472601E+00
       170, 3.000000109E-01,-2.346500035E-08, 5.750000002E-02, 1.248350697E+00
       171, 4.499999767E-01,-2.346499998E-08, 5.749999916E-02, 1.363893406E+00
       172, 7.499999865E-01,-2.346500000E-08, 5.749999916E-02, 1.581010490E+00
       173, 1.049999957E+00,-2.346499769E-08, 5.749999916E-02, 1.697060807E+00
       174, 1.499999992E+00,-2.346499965E-08, 5.749999916E-02, 1.762632562E+00
       175, 2.099999885E+00,-2.346499962E-08, 5.749999916E-02, 1.802650838E+00
       176, 3.000000046E+00,-2.346500029E-08, 5.749999959E-02, 1.848486374E+00
       177,-1.500000037E-01,-2.346499992E-08, 6.499999913E-02, 2.023201590E+00
       178, 3.000000109E-01,-2.346500037E-08, 6.500000002E-02, 1.145709291E+00
       179, 4.499999767E-01,-2.346500000E-08, 6.499999905E-02, 1.259779936E+00
       180, 7.499999865E-01,-2.346500001E-08, 6.499999905E-02, 1.525991394E+00
       181, 1.049999957E+00,-2.346499781E-08, 6.499999905E-02, 1.682364418E+00
       182, 1.499999992E+00,-2.346499966E-08, 6.499999905E-02, 1.780526407E+00
       183, 2.099999885E+00,-2.346499961E-08, 6.499999905E-02, 1.835281721E+00
       184, 3.000000046E+00,-2.346500026E-08, 6.499999954E-02, 1.886478622E+00
       185,-1.500000037E-01,-2.346499994E-08, 7.249999903E-02, 2.055934768E+00
       186, 3.000000109E-01,-2.346500038E-08, 7.250000002E-02, 1.058477140E+00
       187, 4.499999767E-01,-2.346500001E-08, 7.249999894E-02, 1.166355175E+00
       188, 7.499999865E-01,-2.346500001E-08, 7.249999894E-02, 1.471819920E+00
       189, 1.049999957E+00,-2.346499793E-08, 7.249999894E-02, 1.663434367E+00
       190, 1.499999992E+00,-2.346499968E-08, 7.249999894E-02, 1.792802305E+00
       191, 2.099999885E+00,-2.346499964E-08, 7.249999894E-02, 1.863244395E+00
       192, 3.000000046E+00,-2.346500025E-08, 7.249999948E-02, 1.920404756E+00
       193,-1.500000037E-01,-2.346499994E-08, 7.999999893E-02, 2.085402072E+00
       194, 3.000000067E-01,-2.346500003E-08, 7.999999884E-02, 9.749604564E-01
       195, 4.499999892E-01,-2.346500071E-08, 8.000000122E-02, 1.081756473E+00
       196, 7.499999865E-01,-2.346500001E-08, 7.999999884E-02, 1.420184190E+00
       197, 1.049999957E+00,-2.346499805E-08, 7.999999884E-02, 1.642576497E+00
       198, 1.499999992E+00,-2.346499971E-08, 7.999999884E-02, 1.800964938E+00
       199, 2.099999885E+00,-2.346499965E-08, 7.999999884E-02, 1.887293495E+00
       200, 3.000000046E+00,-2.346500024E-08, 7.999999943E-02, 1.950935483E+00
       201,-1.500000037E-01,-2.346499994E-08, 8.749999883E-02, 2.112170564E+00
       202, 3.000000109E-01,-2.346500038E-08, 8.750000003E-02, 8.903647574E-01
       203, 4.499999892E-01,-2.346500071E-08, 8.750000134E-02, 1.005228990E+00
       204, 7.499999865E-01,-2.346500001E-08, 8.749999873E-02, 1.372194971E+00
       205, 1.049999957E+00,-2.346499818E-08, 8.749999873E-02, 1.621584696E+00
       206, 1.499999992E+00,-2.346499971E-08, 8.749999873E-02, 1.806306912E+00
       207, 2.099999885E+00,-2.346499967E-08, 8.749999873E-02, 1.908207124E+00
       208, 3.000000046E+00,-2.346500024E-08, 8.749999938E-02, 1.978659053E+00
       209,-1.500000037E-01,-2.346499994E-08, 9.499999873E-02, 2.136695121E+00
       210, 3.000000109E-01,-2.346500037E-08, 9.500000003E-02, 8.073355037E-01
       211, 4.499999767E-01,-2.346500001E-08, 9.499999862E-02, 9.379526445E-01
       212, 7.499999865E-01,-2.346500001E-08, 9.499999862E-02, 1.328966334E+00
       213, 1.049999957E+00,-2.346499830E-08, 9.499999862E-02, 1.601884426E+00
       214, 1.499999992E+00,-2.346499975E-08, 9.499999862E-02, 1.810061608E+00
