nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,turb-kinetic-energy
       146, 3.000000109E-01,-2.346500039E-08, 3.712654033E-02, 6.074277014E-02
       147, 4.499999767E-01,-2.346500001E-08, 3.712653978E-02, 7.568052540E-02
       148, 7.499999865E-01,-2.346500001E-08, 3.712653978E-02, 7.712743681E-02
       149, 1.049999957E+00,-2.346499758E-08, 3.712653978E-02, 6.796936092E-02
       150, 1.499999992E+00,-2.346499962E-08, 3.712653978E-02, 6.065113902E-02
       151, 2.099999885E+00,-2.346499956E-08, 3.712653978E-02, 5.694011556E-02
       152, 3.000000046E+00,-2.346500025E-08, 3.712654005E-02, 5.492059706E-02
       153,-1.500000034E-01,-2.346499996E-08, 4.311987516E-02, 3.705558361E-02
       154, 3.000000109E-01,-2.346500038E-08, 4.311987575E-02, 6.476837496E-02
       155, 4.499999767E-01,-2.346500001E-08, 4.311987511E-02, 8.226103573E-02
       156, 7.499999865E-01,-2.346500001E-08, 4.311987511E-02, 8.300029267E-02
       157, 1.049999957E+00,-2.346499758E-08, 4.311987511E-02, 7.135349115E-02
       158, 1.499999992E+00,-2.346499963E-08, 4.311987511E-02, 6.187674411E-02
       159, 2.099999885E+00,-2.346499956E-08, 4.311987511E-02, 5.748345195E-02
       160, 3.000000046E+00,-2.346500025E-08, 4.311987543E-02, 5.500102539E-02
       161,-1.500000037E-01,-2.346499997E-08, 4.999999933E-02, 3.540213603E-02
       162, 3.000000109E-01,-2.346500038E-08, 5.000000002E-02, 6.707909200E-02
       163, 4.499999767E-01,-2.346500001E-08, 4.999999927E-02, 8.804597984E-02
       164, 7.499999865E-01,-2.346500001E-08, 4.999999927E-02, 8.915873848E-02
       165, 1.049999957E+00,-2.346499757E-08, 4.999999927E-02, 7.533031745E-02
       166, 1.499999992E+00,-2.346499963E-08, 4.999999927E-02, 6.343383317E-02
       167, 2.099999885E+00,-2.346499957E-08, 4.999999927E-02, 5.811732893E-02
       168, 3.000000046E+00,-2.346500025E-08, 4.999999964E-02, 5.508817179E-02
       169,-1.500000037E-01,-2.346499995E-08, 5.749999923E-02, 3.372736916E-02
       170, 3.000000109E-01,-2.346500035E-08, 5.750000002E-02, 6.796417566E-02
       171, 4.499999767E-01,-2.346499998E-08, 5.749999916E-02, 9.242243283E-02
       172, 7.499999865E-01,-2.346500000E-08, 5.749999916E-02, 9.498796931E-02
       173, 1.049999957E+00,-2.346499769E-08, 5.749999916E-02, 7.961916553E-02
       174, 1.499999992E+00,-2.346499965E-08, 5.749999916E-02, 6.533364128E-02
       175, 2.099999885E+00,-2.346499962E-08, 5.749999916E-02, 5.885881336E-02
       176, 3.000000046E+00,-2.346500029E-08, 5.749999959E-02, 5.519363283E-02
       177,-1.500000037E-01,-2.346499992E-08, 6.499999913E-02, 3.217106609E-02
       178, 3.000000109E-01,-2.346500037E-08, 6.500000002E-02, 6.828298835E-02
       179, 4.499999767E-01,-2.346500000E-08, 6.499999905E-02, 9.521840129E-02
       180, 7.499999865E-01,-2.346500001E-08, 6.499999905E-02, 9.984598500E-02
       181, 1.049999957E+00,-2.346499781E-08, 6.499999905E-02, 8.373722724E-02
       182, 1.499999992E+00,-2.346499966E-08, 6.499999905E-02, 6.743416086E-02
       183, 2.099999885E+00,-2.346499961E-08, 6.499999905E-02, 5.968581591E-02
       184, 3.000000046E+00,-2.346500026E-08, 6.499999954E-02, 5.532326875E-02
       185,-1.500000037E-01,-2.346499994E-08, 7.249999903E-02, 3.072879352E-02
       186, 3.000000109E-01,-2.346500038E-08, 7.250000002E-02, 6.857355059E-02
       187, 4.499999767E-01,-2.346500001E-08, 7.249999894E-02, 9.685667563E-02
       188, 7.499999865E-01,-2.346500001E-08, 7.249999894E-02, 1.037960710E-01
       189, 1.049999957E+00,-2.346499793E-08, 7.249999894E-02, 8.761713677E-02
       190, 1.499999992E+00,-2.346499968E-08, 7.249999894E-02, 6.971018016E-02
       191, 2.099999885E+00,-2.346499964E-08, 7.249999894E-02, 6.062314874E-02
       192, 3.000000046E+00,-2.346500025E-08, 7.249999948E-02, 5.548805819E-02
       193,-1.500000037E-01,-2.346499994E-08, 7.999999893E-02, 2.939621216E-02
       194, 3.000000067E-01,-2.346500003E-08, 7.999999884E-02, 6.887976269E-02
       195, 4.499999892E-01,-2.346500071E-08, 8.000000122E-02, 9.766020181E-02
       196, 7.499999865E-01,-2.346500001E-08, 7.999999884E-02, 1.069791320E-01
       197, 1.049999957E+00,-2.346499805E-08, 7.999999884E-02, 9.125368489E-02
       198, 1.499999992E+00,-2.346499971E-08, 7.999999884E-02, 7.213925711E-02
       199, 2.099999885E+00,-2.346499965E-08, 7.999999884E-02, 6.168818076E-02
       200, 3.000000046E+00,-2.346500024E-08, 7.999999943E-02, 5.569690070E-02
       201,-1.500000037E-01,-2.346499994E-08, 8.749999883E-02, 2.816689475E-02
       202, 3.000000109E-01,-2.346500038E-08, 8.750000003E-02, 6.906490824E-02
       203, 4.499999892E-01,-2.346500071E-08, 8.750000134E-02, 9.788873992E-02
       204, 7.499999865E-01,-2.346500001E-08, 8.749999873E-02, 1.095855580E-01
       205, 1.049999957E+00,-2.346499818E-08, 8.749999873E-02, 9.469182551E-02
       206, 1.499999992E+00,-2.346499971E-08, 8.749999873E-02, 7.470849965E-02
       207, 2.099999885E+00,-2.346499967E-08, 8.749999873E-02, 6.289082320E-02
       208, 3.000000046E+00,-2.346500024E-08, 8.749999938E-02, 5.595550869E-02
       209,-1.500000037E-01,-2.346499994E-08, 9.499999873E-02, 2.703221419E-02
       210, 3.000000109E-01,-2.346500037E-08, 9.500000003E-02, 6.906131892E-02
       211, 4.499999767E-01,-2.346500001E-08, 9.499999862E-02, 9.781437352E-02
       212, 7.499999865E-01,-2.346500001E-08, 9.499999862E-02, 1.118452964E-01
       213, 1.049999957E+00,-2.346499830E-08, 9.499999862E-02, 9.801457370E-02
       214, 1.499999992E+00,-2.346499975E-08, 9.499999862E-02, 7.741540886E-02
       215, 2.099999885E+00,-2.346499969E-08, 9.499999862E-02, 6.423392169E-02
       216, 3.000000046E+00,-2.346500024E-08, 9.499999933E-02, 5.626560617E-02
       217,-1.500000037E-01,-2.346499994E-08, 1.024999986E-01, 2.598164106E-02
       218, 3.000000109E-01,-2.346500037E-08, 1.025000000E-01, 6.898999200E-02
       219, 4.499999767E-01,-2.346500001E-08, 1.024999985E-01, 9.775654321E-02
       220, 7.499999865E-01,-2.346500001E-08, 1.024999985E-01, 1.140170433E-01
       221, 1.049999957E+00,-2.346499841E-08, 1.024999985E-01, 1.013309620E-01
       222, 1.499999992E+00,-2.346499976E-08, 1.024999985E-01, 8.026462940E-02
       223, 2.099999885E+00,-2.346499971E-08, 1.024999985E-01, 6.571333294E-02
       224, 3.000000046E+00,-2.346500021E-08, 1.024999993E-01, 5.662438500E-02
       225,-1.500000037E-01,-2.346499994E-08, 1.099999985E-01, 2.500356624E-02
       226, 3.000000109E-01,-2.346500037E-08, 1.100000000E-01, 6.912832468E-02
       227, 4.499999767E-01,-2.346500001E-08, 1.099999984E-01, 9.806298584E-02
       228, 7.499999652E-01,-2.346499931E-08, 1.099999951E-01, 1.163724523E-01
       229, 1.049999957E+00,-2.346499856E-08, 1.099999984E-01, 1.047622699E-01
       230, 1.499999992E+00,-2.346499978E-08, 1.099999984E-01, 8.326293600E-02
       231, 2.099999885E+00,-2.346499974E-08, 1.099999984E-01, 6.731735526E-02
       232, 3.000000046E+00,-2.346500023E-08, 1.099999992E-01, 5.702415092E-02
       233,-1.500000037E-01,-2.346499993E-08, 1.174999984E-01, 2.408649798E-02
       234, 3.000000109E-01,-2.346500037E-08, 1.175000000E-01, 6.978801147E-02
       235, 4.499999767E-01,-2.346500001E-08, 1.174999983E-01, 9.905736051E-02
       236, 7.499999652E-01,-2.346499931E-08, 1.174999948E-01, 1.191773516E-01
       237, 1.049999957E+00,-2.346499866E-08, 1.174999983E-01, 1.084283040E-01
       238, 1.499999992E+00,-2.346499979E-08, 1.174999983E-01, 8.641228672E-02
       239, 2.099999885E+00,-2.346499977E-08, 1.174999983E-01, 6.902544647E-02
       240, 3.000000046E+00,-2.346500021E-08, 1.174999992E-01, 5.745171457E-02
       241,-1.500000037E-01,-2.346499994E-08, 1.249999983E-01, 2.321988358E-02
       242, 3.000000109E-01,-2.346500036E-08, 1.250000000E-01, 7.121488120E-02
       243, 4.499999767E-01,-2.346500000E-08, 1.249999982E-01, 1.010080637E-01
       244, 7.499999865E-01,-2.346500000E-08, 1.249999982E-01, 1.226577073E-01
       245, 1.049999957E+00,-2.346499879E-08, 1.249999982E-01, 1.124266341E-01
       246, 1.499999992E+00,-2.346499981E-08, 1.249999982E-01, 8.970112200E-02
       247, 2.099999885E+00,-2.346499978E-08, 1.249999982E-01, 7.080633342E-02
       248, 3.000000046E+00,-2.346500021E-08, 1.249999991E-01, 5.788829078E-02
       249,-1.500000037E-01,-2.346499992E-08, 1.324999982E-01, 2.239451343E-02
       250, 3.000000109E-01,-2.346500036E-08, 1.325000001E-01, 7.354075746E-02
       251, 4.499999767E-01,-2.346500000E-08, 1.324999981E-01, 1.040914403E-01
       252, 7.499999865E-01,-2.346500000E-08, 1.324999981E-01, 1.269527486E-01
       253, 1.049999957E+00,-2.346499891E-08, 1.324999981E-01, 1.168028462E-01
       254, 1.499999992E+00,-2.346499982E-08, 1.324999981E-01, 9.309487720E-02
       255, 2.099999885E+00,-2.346499981E-08, 1.324999981E-01, 7.261604144E-02
       256, 3.000000046E+00,-2.346500021E-08, 1.324999991E-01, 5.831015901E-02
       257,-1.500000037E-01,-2.346499992E-08, 1.399999981E-01, 2.160274601E-02
       258, 3.000000109E-01,-2.346500036E-08, 1.400000001E-01, 7.674623326E-02
       259, 4.499999767E-01,-2.346500000E-08, 1.399999980E-01, 1.083153845E-01
       260, 7.499999865E-01,-2.346500000E-08, 1.399999980E-01, 1.320589016E-01
       261, 1.049999957E+00,-2.346499903E-08, 1.399999980E-01, 1.215219877E-01
       262, 1.499999992E+00,-2.346499985E-08, 1.399999980E-01, 9.652933565E-02
       263, 2.099999885E+00,-2.346499982E-08, 1.399999980E-01, 7.439534371E-02
       264, 3.000000046E+00,-2.346500020E-08, 1.399999990E-01, 5.868927565E-02
       265,-1.500000037E-01,-2.346499991E-08, 1.474999980E-01, 2.083855871E-02
       266, 3.000000109E-01,-2.346500036E-08, 1.475000001E-01, 8.064930944E-02
       267, 4.499999767E-01,-2.346500000E-08, 1.474999979E-01, 1.135341853E-01
       268, 7.499999865E-01,-2.346500000E-08, 1.474999979E-01, 1.378293855E-01
       269, 1.049999957E+00,-2.346499914E-08, 1.474999979E-01, 1.264569995E-01
