nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       101, 1.049999957E+00,-2.346499757E-08, 1.431984763E-02, 1.480141157E+00
       102, 1.499999992E+00,-2.346499963E-08, 1.431984763E-02, 1.432275921E+00
       103, 2.099999885E+00,-2.346499957E-08, 1.431984763E-02, 1.439377579E+00
       104, 3.000000046E+00,-2.346500026E-08, 1.431984774E-02, 1.452648681E+00
       105,-1.500000027E-01,-2.346499996E-08, 1.693864799E-02, 1.622093788E+00
       106, 3.000000109E-01,-2.346500038E-08, 1.693864822E-02, 1.940773779E+00
       107, 4.499999767E-01,-2.346500000E-08, 1.693864797E-02, 1.841732248E+00
       108, 7.499999865E-01,-2.346500000E-08, 1.693864797E-02, 1.655484870E+00
       109, 1.049999957E+00,-2.346499757E-08, 1.693864797E-02, 1.524553799E+00
       110, 1.499999992E+00,-2.346499964E-08, 1.693864797E-02, 1.472754823E+00
       111, 2.099999885E+00,-2.346499958E-08, 1.693864797E-02, 1.480831545E+00
       112, 3.000000046E+00,-2.346500026E-08, 1.693864809E-02, 1.497025000E+00
       113,-1.500000028E-01,-2.346499997E-08, 1.994493255E-02, 1.671191254E+00
       114, 3.000000109E-01,-2.346500038E-08, 1.994493283E-02, 1.950483995E+00
       115, 4.499999767E-01,-2.346500000E-08, 1.994493253E-02, 1.849455610E+00
       116, 7.499999865E-01,-2.346500000E-08, 1.994493253E-02, 1.685950379E+00
       117, 1.049999957E+00,-2.346499756E-08, 1.994493253E-02, 1.567425937E+00
       118, 1.499999992E+00,-2.346499964E-08, 1.994493253E-02, 1.513097053E+00
       119, 2.099999885E+00,-2.346499959E-08, 1.994493253E-02, 1.521756285E+00
       120, 3.000000046E+00,-2.346500026E-08, 1.994493268E-02, 1.541186170E+00
       121,-1.500000029E-01,-2.346499996E-08, 2.339603447E-02, 1.719071863E+00
       122, 3.000000109E-01,-2.346500038E-08, 2.339603480E-02, 1.938943212E+00
       123, 4.499999767E-01,-2.346500001E-08, 2.339603445E-02, 1.842661252E+00
       124, 7.499999865E-01,-2.346500000E-08, 2.339603445E-02, 1.707938153E+00
       125, 1.049999957E+00,-2.346499757E-08, 2.339603445E-02, 1.607493044E+00
       126, 1.499999992E+00,-2.346499962E-08, 2.339603445E-02, 1.553410713E+00
       127, 2.099999885E+00,-2.346499957E-08, 2.339603445E-02, 1.562370330E+00
       128, 3.000000046E+00,-2.346500025E-08, 2.339603462E-02, 1.585238492E+00
       129,-1.500000030E-01,-2.346499996E-08, 2.735777003E-02, 1.765791876E+00
       130, 3.000000109E-01,-2.346500038E-08, 2.735777041E-02, 1.895896030E+00
       131, 4.499999767E-01,-2.346500001E-08, 2.735777000E-02, 1.816621166E+00
       132, 7.499999865E-01,-2.346500000E-08, 2.735777000E-02, 1.719810225E+00
       133, 1.049999957E+00,-2.346499757E-08, 2.735777000E-02, 1.643014738E+00
       134, 1.499999992E+00,-2.346499962E-08, 2.735777000E-02, 1.593560317E+00
       135, 2.099999885E+00,-2.346499957E-08, 2.735777000E-02, 1.602872664E+00
       136, 3.000000046E+00,-2.346500025E-08, 2.735777021E-02, 1.629258287E+00
       137,-1.500000031E-01,-2.346499995E-08, 3.190569386E-02, 1.811478183E+00
       138, 3.000000109E-01,-2.346500037E-08, 3.190569430E-02, 1.811416418E+00
       139, 4.499999767E-01,-2.346500001E-08, 3.190569382E-02, 1.767047676E+00
       140, 7.499999865E-01,-2.346500001E-08, 3.190569382E-02, 1.719785202E+00
       141, 1.049999957E+00,-2.346499757E-08, 3.190569382E-02, 1.672023090E+00
       142, 1.499999992E+00,-2.346499962E-08, 3.190569382E-02, 1.633083574E+00
       143, 2.099999885E+00,-2.346499955E-08, 3.190569382E-02, 1.643416817E+00
       144, 3.000000046E+00,-2.346500024E-08, 3.190569406E-02, 1.673308350E+00
       145,-1.500000033E-01,-2.346499996E-08, 3.712653982E-02, 1.856325553E+00
       146, 3.000000109E-01,-2.346500039E-08, 3.712654033E-02, 1.685988432E+00
       147, 4.499999767E-01,-2.346500001E-08, 3.712653978E-02, 1.692071499E+00
       148, 7.499999865E-01,-2.346500001E-08, 3.712653978E-02, 1.706276663E+00
       149, 1.049999957E+00,-2.346499758E-08, 3.712653978E-02, 1.692798637E+00
