nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       121, 3.000000109E-01,-5.000002009E-02, 1.250000000E-01, 1.037893426E+00
       122, 4.499999767E-01,-5.000001935E-02, 1.249999982E-01, 1.133570501E+00
       123, 7.499999865E-01,-5.000001935E-02, 1.249999982E-01, 1.447119803E+00
       124, 1.499999992E+00,-5.000001935E-02, 1.249999982E-01, 1.873450581E+00
       125, 2.249999948E+00,-5.000001935E-02, 1.249999982E-01, 2.022870112E+00
       126, 3.000000024E+00,-5.000001935E-02, 1.249999982E-01, 2.090904029E+00
       127, 1.500000114E-01,-3.750002038E-02, 1.249999982E-01, 9.462201909E-01
       128, 3.000000109E-01,-3.750002094E-02, 1.250000000E-01, 8.903758310E-01
       129, 4.499999767E-01,-3.750002038E-02, 1.249999982E-01, 9.957997762E-01
       130, 7.499999865E-01,-3.750002038E-02, 1.249999982E-01, 1.355700372E+00
       131, 1.499999992E+00,-3.750002038E-02, 1.249999982E-01, 1.853660804E+00
       132, 2.249999948E+00,-3.750002038E-02, 1.249999982E-01, 2.018237876E+00
       133, 3.000000024E+00,-3.750002038E-02, 1.249999982E-01, 2.089985568E+00
       134, 1.500000119E-01,-2.500002150E-02, 1.249999987E-01, 7.562130843E-01
       135, 3.000000109E-01,-2.500002178E-02, 1.250000000E-01, 7.604868016E-01
       136, 4.499999767E-01,-2.500002141E-02, 1.249999982E-01, 8.941957292E-01
       137, 7.499999865E-01,-2.500002141E-02, 1.249999982E-01, 1.289624054E+00
       138, 1.499999992E+00,-2.500002141E-02, 1.249999982E-01, 1.840160365E+00
       139, 2.249999948E+00,-2.500002141E-02, 1.249999982E-01, 2.015605020E+00
       140, 3.000000024E+00,-2.500002141E-02, 1.249999982E-01, 2.090024208E+00
       141, 1.500000119E-01,-1.250002248E-02, 1.249999987E-01, 5.909559112E-01
       142, 3.000000109E-01,-1.250002262E-02, 1.250000000E-01, 6.679463710E-01
       143, 4.499999767E-01,-1.250002244E-02, 1.249999982E-01, 8.285643820E-01
       144, 7.499999865E-01,-1.250002244E-02, 1.249999982E-01, 1.249401391E+00
       145, 1.499999992E+00,-1.250002244E-02, 1.249999982E-01, 1.833284464E+00
       146, 2.249999948E+00,-1.250002244E-02, 1.249999982E-01, 2.015050136E+00
       147, 3.000000024E+00,-1.250002244E-02, 1.249999982E-01, 2.091021820E+00
       148, 1.500000119E-01,-2.346500009E-08, 1.249999987E-01, 5.270341459E-01
       149, 3.000000109E-01,-2.346500036E-08, 1.250000000E-01, 6.310520689E-01
       150, 4.499999767E-01,-2.346500000E-08, 1.249999982E-01, 8.014350879E-01
       151, 7.499999865E-01,-2.346500000E-08, 1.249999982E-01, 1.235861899E+00
       152, 1.499999992E+00,-2.346499981E-08, 1.249999982E-01, 1.833208528E+00
       153, 2.249999948E+00,-2.346499979E-08, 1.249999982E-01, 2.016618279E+00
       154, 3.000000024E+00,-2.346500004E-08, 1.249999982E-01, 2.092978483E+00
       155, 1.500000119E-01, 1.249997555E-02, 1.249999987E-01, 5.709913585E-01
       156, 3.000000109E-01, 1.249997569E-02, 1.250000000E-01, 6.511011826E-01
       157, 4.499999767E-01, 1.249997551E-02, 1.249999982E-01, 8.147351246E-01
       158, 7.499999865E-01, 1.249997551E-02, 1.249999982E-01, 1.249499435E+00
       159, 1.499999992E+00, 1.249997551E-02, 1.249999982E-01, 1.839867850E+00
       160, 2.249999948E+00, 1.249997551E-02, 1.249999982E-01, 2.020304319E+00
       161, 3.000000024E+00, 1.249997551E-02, 1.249999982E-01, 2.095886674E+00
       162, 1.500000119E-01, 2.499997457E-02, 1.249999987E-01, 7.214145533E-01
       163, 3.000000109E-01, 2.499997485E-02, 1.250000000E-01, 7.211103779E-01
       164, 4.499999767E-01, 2.499997448E-02, 1.249999982E-01, 8.665278111E-01
       165, 7.499999865E-01, 2.499997448E-02, 1.249999982E-01, 1.289779075E+00
       166, 1.499999992E+00, 2.499997448E-02, 1.249999982E-01, 1.852963436E+00
       167, 2.249999948E+00, 2.499997448E-02, 1.249999982E-01, 2.026050674E+00
       168, 3.000000024E+00, 2.499997448E-02, 1.249999982E-01, 2.099724815E+00
       169, 1.500000119E-01, 3.749997359E-02, 1.249999987E-01, 9.174522933E-01
       170, 3.000000109E-01, 3.749997401E-02, 1.250000000E-01, 8.327139862E-01
       171, 4.499999767E-01, 3.749997345E-02, 1.249999982E-01, 9.581339500E-01
       172, 7.499999865E-01, 3.749997345E-02, 1.249999982E-01, 1.356143340E+00
       173, 1.499999992E+00, 3.749997345E-02, 1.249999982E-01, 1.872071456E+00
       174, 2.249999948E+00, 3.749997345E-02, 1.249999982E-01, 2.033755078E+00
       175, 3.000000024E+00, 3.749997345E-02, 1.249999982E-01, 2.104452403E+00
       176, 1.500000119E-01, 4.999997260E-02, 1.249999987E-01, 1.077704432E+00
       177, 3.000000109E-01, 4.999997316E-02, 1.250000000E-01, 9.837342497E-01
       178, 4.499999767E-01, 4.999997242E-02, 1.249999982E-01, 1.095363706E+00
       179, 7.499999865E-01, 4.999997242E-02, 1.249999982E-01, 1.448682956E+00
       180, 1.499999992E+00, 4.999997242E-02, 1.249999982E-01, 1.896743926E+00
       181, 2.249999948E+00, 4.999997242E-02, 1.249999982E-01, 2.043279272E+00
       182, 3.000000024E+00, 4.999997242E-02, 1.249999982E-01, 2.110010067E+00
       183, 1.500000119E-01, 6.249997162E-02, 1.249999987E-01, 1.220359877E+00
       184, 3.000000109E-01, 6.249997232E-02, 1.250000000E-01, 1.182186307E+00
       185, 4.499999767E-01, 6.249997139E-02, 1.249999982E-01, 1.281197914E+00
       186, 7.499999865E-01, 6.249997139E-02, 1.249999982E-01, 1.565510304E+00
       187, 1.499999992E+00, 6.249997139E-02, 1.249999982E-01, 1.926376505E+00
       188, 2.249999948E+00, 6.249997139E-02, 1.249999982E-01, 2.054452976E+00
       189, 3.000000024E+00, 6.249997139E-02, 1.249999982E-01, 2.116323649E+00
       190, 1.500000119E-01, 7.499997064E-02, 1.249999987E-01, 1.437220040E+00
       191, 3.000000109E-01, 7.499997148E-02, 1.250000000E-01, 1.436915519E+00
       192, 4.499999767E-01, 7.499997036E-02, 1.249999982E-01, 1.508896307E+00
       193, 7.499999865E-01, 7.499997036E-02, 1.249999982E-01, 1.700103562E+00
       194, 1.499999992E+00, 7.499997036E-02, 1.249999982E-01, 1.960002639E+00
       195, 2.249999948E+00, 7.499997036E-02, 1.249999982E-01, 2.067075554E+00
       196, 3.000000024E+00, 7.499997036E-02, 1.249999982E-01, 2.123310107E+00
       197, 1.500000119E-01, 8.749997314E-02, 1.249999987E-01, 1.775371067E+00
       198, 3.000000109E-01, 8.749997412E-02, 1.250000000E-01, 1.734223623E+00
       199, 4.499999767E-01, 8.749997282E-02, 1.249999982E-01, 1.756689499E+00
       200, 7.499999865E-01, 8.749997282E-02, 1.249999982E-01, 1.841660807E+00
       201, 1.499999992E+00, 8.749997282E-02, 1.249999982E-01, 1.996364520E+00
       202, 2.249999948E+00, 8.749997282E-02, 1.249999982E-01, 2.080922742E+00
       203, 3.000000024E+00, 8.749997282E-02, 1.249999982E-01, 2.130884758E+00
       204, 1.500000119E-01, 1.007160161E-01, 1.249999987E-01, 2.144772134E+00
       205, 3.000000109E-01, 1.007160172E-01, 1.250000000E-01, 2.038601664E+00
       206, 4.499999767E-01, 1.007160157E-01, 1.249999982E-01, 2.001970059E+00
       207, 7.499999865E-01, 1.007160157E-01, 1.249999982E-01, 1.984515353E+00
       208, 1.499999992E+00, 1.007160157E-01, 1.249999982E-01, 2.036283639E+00
       209, 2.249999948E+00, 1.007160157E-01, 1.249999982E-01, 2.096671189E+00
       210, 3.000000024E+00, 1.007160157E-01, 1.249999982E-01, 2.139471069E+00
       211, 1.500000119E-01, 1.146891167E-01, 1.249999987E-01, 2.359603562E+00
       212, 3.000000109E-01, 1.146891179E-01, 1.250000000E-01, 2.265287766E+00
       213, 4.499999767E-01, 1.146891162E-01, 1.249999982E-01, 2.198508994E+00
       214, 7.499999865E-01, 1.146891162E-01, 1.249999982E-01, 2.113337682E+00
       215, 1.499999992E+00, 1.146891162E-01, 1.249999982E-01, 2.078647191E+00
       216, 2.249999948E+00, 1.146891162E-01, 1.249999982E-01, 2.114386366E+00
       217, 3.000000024E+00, 1.146891162E-01, 1.249999982E-01, 2.149181077E+00
       218, 1.500000119E-01, 1.294626415E-01, 1.249999987E-01, 2.408313915E+00
       219, 3.000000109E-01, 1.294626429E-01, 1.250000000E-01, 2.367804290E+00
