l-1,theta_l-1,theta_l,k,c,w_l-1
172,171.5,172.5,2.496698,11.319767,0.002734
173,172.5,173.5,2.499729,11.343201,0.002772
174,173.5,174.5,2.50237,11.366378,0.002811
175,174.5,175.5,2.504619,11.389295,0.002849
176,175.5,176.5,2.506477,11.411954,0.002888
177,176.5,177.5,2.507944,11.434353,0.002927
178,177.5,178.5,2.50902,11.456494,0.002966
179,178.5,179.5,2.509706,11.478377,0.003005
180,179.5,180.5,2.51,11.5,0.003043
181,180.5,181.5,2.509903,11.521365,0.003081
182,181.5,182.5,2.509416,11.542471,0.003119
183,182.5,183.5,2.508537,11.563318,0.003156
184,183.5,184.5,2.507268,11.583906,0.003192
185,184.5,185.5,2.505607,11.604235,0.003228
186,185.5,186.5,2.503555,11.624306,0.003263
187,186.5,187.5,2.501113,11.644118,0.003298
188,187.5,188.5,2.49828,11.663671,0.003333
189,188.5,189.5,2.495055,11.682966,0.003366
190,189.5,190.5,2.49144,11.702001,0.0034
191,190.5,191.5,2.487433,11.720778,0.003432
192,191.5,192.5,2.483036,11.739296,0.003464
193,192.5,193.5,2.478248,11.757555,0.003496
194,193.5,194.5,2.473068,11.775556,0.003527
195,194.5,195.5,2.467498,11.793298,0.003557
196,195.5,196.5,2.461817,11.810299,0.003586
197,196.5,197.5,2.456304,11.826078,0.003615
198,197.5,198.5,2.450961,11.840635,0.003644
199,198.5,199.5,2.445786,11.85397,0.003671
200,199.5,200.5,2.440779,11.866083,0.003698
201,200.5,201.5,2.435942,11.876974,0.003725
202,201.5,202.5,2.431273,11.886643,0.00375
203,202.5,203.5,2.426773,11.89509,0.003775
204,203.5,204.5,2.422442,11.902315,0.003799
205,204.5,205.5,2.41828,11.908317,0.003823
206,205.5,206.5,2.414286,11.913098,0.003846
207,206.5,207.5,2.410462,11.916657,0.003868
208,207.5,208.5,2.406806,11.918993,0.003889
209,208.5,209.5,2.403318,11.920108,0.00391
210,209.5,210.5,2.4,11.92,0.003929
211,210.5,211.5,2.39685,11.91867,0.003948
212,211.5,212.5,2.393869,11.916119,0.003967
213,212.5,213.5,2.391057,11.912345,0.003984
214,213.5,214.5,2.388414,11.907349,0.004001
215,214.5,215.5,2.385939,11.901131,0.004016
216,215.5,216.5,2.383634,11.893691,0.004031
217,216.5,217.5,2.381497,11.885029,0.004046
218,217.5,218.5,2.379529,11.875145,0.004059
219,218.5,219.5,2.377729,11.864039,0.004071
220,219.5,220.5,2.376098,11.851711,0.004083
221,220.5,221.5,2.374637,11.83816,0.004094
222,221.5,222.5,2.373343,11.823388,0.004103
223,222.5,223.5,2.372219,11.807394,0.004112
224,223.5,224.5,2.371264,11.790177,0.00412
225,224.5,225.5,2.370477,11.771739,0.004127
226,225.5,226.5,2.36973,11.752707,0.004134
227,226.5,227.5,2.368895,11.733711,0.004139
228,227.5,228.5,2.367972,11.71475,0.004143
229,228.5,229.5,2.36696,11.695825,0.004147
230,229.5,230.5,2.36586,11.676936,0.004149
231,230.5,231.5,2.364672,11.658082,0.004151
232,231.5,232.5,2.363395,11.639264,0.004151
233,232.5,233.5,2.36203,11.620481,0.004151
234,233.5,234.5,2.360577,11.601734,0.004149
235,234.5,235.5,2.359035,11.583023,0.004147
236,235.5,236.5,2.357405,11.564347,0.004143
237,236.5,237.5,2.355686,11.545707,0.004138
238,237.5,238.5,2.353879,11.527102,0.004133
239,238.5,239.5,2.351984,11.508533,0.004126
240,239.5,240.5,2.35,11.49,0.004119
241,240.5,241.5,2.347928,11.471502,0.00411
242,241.5,242.5,2.345768,11.45304,0.0041
243,242.5,243.5,2.343519,11.434613,0.004089
244,243.5,244.5,2.341182,11.416222,0.004078
245,244.5,245.5,2.338756,11.397867,0.004066
246,245.5,246.5,2.336242,11.379547,0.004053
247,246.5,247.5,2.33364,11.361263,0.00404
248,247.5,248.5,2.330949,11.343014,0.004026
249,248.5,249.5,2.32817,11.324801,0.004011
250,249.5,250.5,2.325303,11.306624,0.003997
251,250.5,251.5,2.322347,11.288482,0.003982
252,251.5,252.5,2.319303,11.270375,0.003967
253,252.5,253.5,2.316171,11.252305,0.003952
254,253.5,254.5,2.31295,11.23427,0.003937
255,254.5,255.5,2.309641,11.21627,0.003922
256,255.5,256.5,2.306335,11.198882,0.003907
257,256.5,257.5,2.303124,11.182679,0.003892
258,257.5,258.5,2.300007,11.167663,0.003878
259,258.5,259.5,2.296985,11.153834,0.003864
260,259.5,260.5,2.294059,11.14119,0.003851
261,260.5,261.5,2.291226,11.129733,0.003838
262,261.5,262.5,2.288489,11.119462,0.003826
263,262.5,263.5,2.285846,11.110377,0.003815
264,263.5,264.5,2.283298,11.102479,0.003804
265,264.5,265.5,2.280845,11.095767,0.003795
266,265.5,266.5,2.278486,11.090241,0.003786
267,266.5,267.5,2.276223,11.085901,0.003779
268,267.5,268.5,2.274054,11.082748,0.003772
269,268.5,269.5,2.271979,11.080781,0.003767
270,269.5,270.5,2.27,11.08,0.003763
271,270.5,271.5,2.268115,11.080405,0.003761
272,271.5,272.5,2.266325,11.081997,0.00376
273,272.5,273.5,2.26463,11.084775,0.00376
274,273.5,274.5,2.26303,11.08874,0.003761
275,274.5,275.5,2.261524,11.09389,0.003764
276,275.5,276.5,2.260113,11.100227,0.003767
277,276.5,277.5,2.258797,11.10775,0.003771
278,277.5,278.5,2.257575,11.116459,0.003776
279,278.5,279.5,2.256448,11.126355,0.003781
280,279.5,280.5,2.255416,11.137437,0.003787
281,280.5,281.5,2.254479,11.149705,0.003794
282,281.5,282.5,2.253637,11.16316,0.003801
283,282.5,283.5,2.252889,11.1778,0.003808
284,283.5,284.5,2.252236,11.193627,0.003815
285,284.5,285.5,2.251678,11.21064,0.003823
286,285.5,286.5,2.251149,11.227648,0.00383
287,286.5,287.5,2.250585,11.243458,0.003838
288,287.5,288.5,2.249985,11.25807,0.003845
289,288.5,289.5,2.249349,11.271485,0.003852
290,289.5,290.5,2.248677,11.283702,0.003858
291,290.5,291.5,2.24797,11.294721,0.003864
292,291.5,292.5,2.247227,11.304543,0.00387
293,292.5,293.5,2.246449,11.313167,0.003875
294,293.5,294.5,2.245635,11.320593,0.003879
295,294.5,295.5,2.244785,11.326822,0.003882
296,295.5,296.5,2.243899,11.331853,0.003885
297,296.5,297.5,2.242978,11.335686,0.003886
298,297.5,298.5,2.242021,11.338322,0.003886
299,298.5,299.5,2.241028,11.33976,0.003885
300,299.5,300.5,2.24,11.34,0.003883
301,300.5,301.5,2.238936,11.339043,0.003879
302,301.5,302.5,2.237836,11.336888,0.003874
303,302.5,303.5,2.236701,11.333535,0.003868
304,303.5,304.5,2.23553,11.328985,0.00386
305,304.5,305.5,2.234323,11.323237,0.003851
306,305.5,306.5,2.23308,11.316291,0.00384
307,306.5,307.5,2.231802,11.308148,0.003828
308,307.5,308.5,2.230488,11.298807,0.003815
309,308.5,309.5,2.229139,11.288269,0.003801
310,309.5,310.5,2.227754,11.276533,0.003785
311,310.5,311.5,2.226333,11.263599,0.003768
312,311.5,312.5,2.224876,11.249467,0.00375
313,312.5,313.5,2.223384,11.234138,0.00373
314,313.5,314.5,2.221856,11.217611,0.003709
315,314.5,315.5,2.220292,11.199887,0.003687
316,315.5,316.5,2.218681,11.18083,0.003664
317,316.5,317.5,2.217012,11.160306,0.00364
318,317.5,318.5,2.215285,11.138316,0.003614
319,318.5,319.5,2.213499,11.114858,0.003587
320,319.5,320.5,2.211655,11.089933,0.003559
321,320.5,321.5,2.209752,11.063541,0.00353
322,321.5,322.5,2.207791,11.035682,0.003499
323,322.5,323.5,2.205771,11.006357,0.003468
324,323.5,324.5,2.203693,10.975564,0.003435
325,324.5,325.5,2.201557,10.943304,0.003401
326,325.5,326.5,2.199363,10.909577,0.003366
327,326.5,327.5,2.19711,10.874383,0.00333
328,327.5,328.5,2.194798,10.837723,0.003293
329,328.5,329.5,2.192428,10.799595,0.003255
330,329.5,330.5,2.19,10.76,0.003216
331,330.5,331.5,2.187513,10.718938,0.003176
332,331.5,332.5,2.184968,10.676409,0.003134
333,332.5,333.5,2.182365,10.632414,0.003092
334,333.5,334.5,2.179703,10.586951,0.003048
335,334.5,335.5,2.176983,10.540021,0.003004
336,335.5,336.5,2.174204,10.491624,0.002959
337,336.5,337.5,2.171367,10.44176,0.002912
338,337.5,338.5,2.168472,10.390429,0.002865
339,338.5,339.5,2.165518,10.337632,0.002817
340,339.5,340.5,2.162506,10.283367,0.002767
341,340.5,341.5,2.159435,10.227635,0.002717
342,341.5,342.5,2.156307,10.170436,0.002666
343,342.5,343.5,2.153119,10.11177,0.002614
344,343.5,344.5,2.149873,10.051638,0.002561
345,344.5,345.5,2.146569,9.990038,0.002507
346,345.5,346.5,2.143207,9.926971,0.002452
347,346.5,347.5,2.139786,9.862437,0.002397
348,347.5,348.5,2.136307,9.796436,0.00234
349,348.5,349.5,2.132769,9.728968,0.002283
350,349.5,350.5,2.129173,9.660033,0.002225
351,350.5,351.5,2.125518,9.589632,0.002166
352,351.5,352.5,2.121805,9.517763,0.002106
353,352.5,353.5,2.118034,9.444427,0.002045
354,353.5,354.5,2.114204,9.369624,0.001984
355,354.5,355.5,2.110316,9.293354,0.001922
356,355.5,356.5,2.10637,9.215617,0.001859
357,356.5,357.5,2.102365,9.136414,0.001795
358,357.5,358.5,2.098302,9.055743,0.001731
359,358.5,359.5,2.09418,8.973605,0.001666
